Fecha.DOF|TC
14/05/2008|10.4835
15/05/2008|10.4884
16/05/2008|10.4769
17/05/2008|N/E
18/05/2008|N/E
19/05/2008|10.4266
20/05/2008|10.3792
21/05/2008|10.4002
22/05/2008|10.3644
23/05/2008|10.3810
24/05/2008|N/E
25/05/2008|N/E
26/05/2008|10.4000
27/05/2008|10.3848
28/05/2008|10.3925
29/05/2008|10.3447
30/05/2008|10.3066
31/05/2008|N/E
01/06/2008|N/E
02/06/2008|10.3306
03/06/2008|10.3417
04/06/2008|10.2992
05/06/2008|10.3211
06/06/2008|10.3108
07/06/2008|N/E
08/06/2008|N/E
09/06/2008|10.3582
10/06/2008|10.3620
11/06/2008|10.3847
12/06/2008|10.4268
13/06/2008|10.3950
14/06/2008|N/E
15/06/2008|N/E
16/06/2008|10.3655
17/06/2008|10.3399
18/06/2008|10.3153
19/06/2008|10.2935
20/06/2008|10.3156
21/06/2008|N/E
22/06/2008|N/E
23/06/2008|10.2753
24/06/2008|10.3032
25/06/2008|10.3180
26/06/2008|10.2938
27/06/2008|10.2841
28/06/2008|N/E
29/06/2008|N/E
30/06/2008|10.3028
01/07/2008|10.3069
02/07/2008|10.3908
03/07/2008|10.3722
04/07/2008|10.3692
05/07/2008|N/E
06/07/2008|N/E
07/07/2008|10.3411
08/07/2008|10.3263
09/07/2008|10.3363
10/07/2008|10.2993
11/07/2008|10.3076
12/07/2008|N/E
13/07/2008|N/E
14/07/2008|10.3120
15/07/2008|10.2925
16/07/2008|10.3229
17/07/2008|10.2608
18/07/2008|10.2311
19/07/2008|N/E
20/07/2008|N/E
21/07/2008|10.2047
22/07/2008|10.1708
23/07/2008|10.1178
24/07/2008|10.0552
25/07/2008|10.0264
26/07/2008|N/E
27/07/2008|N/E
28/07/2008|10.0190
29/07/2008|10.0706
30/07/2008|10.0610
31/07/2008|10.0340
01/08/2008|10.0353
02/08/2008|N/E
03/08/2008|N/E
04/08/2008|9.9705
05/08/2008|9.9335
06/08/2008|9.9180
07/08/2008|9.9485
08/08/2008|9.9877
09/08/2008|N/E
10/08/2008|N/E
11/08/2008|10.1305
12/08/2008|10.1295
13/08/2008|10.1590
14/08/2008|10.1968
15/08/2008|10.1586
